event_id,date,title,summary,category,region,source_url,tags,notes
EVT-1988-PLO-UN242,1988-11-15,PLO Accepts UN Resolution 242,"The Palestine Liberation Organization formally accepts UN Resolution 242, opening path to peace talks.",Geopolitics,Middle East,https://en.wikipedia.org/wiki/Palestine_Liberation_Organization,"Palestine;UN;MiddleEast",
EVT-1988-ARMENIAN-QUAKE,1988-12-07,1988 Armenian Earthquake,"A devastating earthquake hits Spitak, Armenia, killing ~25,000 people.",Geopolitics,USSR,https://en.wikipedia.org/wiki/1988_Armenian_earthquake,"Earthquake;USSR;Disaster",
EVT-1989-BUSH-INAUG,1989-01-20,George H. W. Bush Inauguration,"George H. W. Bush inaugurated as 41st President of the United States.",Geopolitics,United States,https://en.wikipedia.org/wiki/George_H._W._Bush,"US;Inauguration;Politics",
EVT-1989-SOVIET-AFGHAN,1989-02-15,Soviet Withdrawal from Afghanistan,"The Soviet Union completes its withdrawal from Afghanistan after nine years of war.",Geopolitics,Afghanistan,https://en.wikipedia.org/wiki/Soviet–Afghan_War,"USSR;Afghanistan;War",
EVT-1989-TIANANMEN-PROTESTS,1989-04-15,Tiananmen Square Protests Begin,"Student-led pro-democracy protests begin in Tiananmen Square, Beijing.",Geopolitics,China,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre,"China;Protest;Democracy",
EVT-1989-SOLIDARITY,1989-06-23,Solidarity Legalized in Poland,"Solidarity trade union legalized, marking a turning point in Polish politics.",Geopolitics,Poland,https://en.wikipedia.org/wiki/Solidarity_(Polish_trade_union),"Poland;Solidarity;Politics",
EVT-1989-PAN-EURO-PICNIC,1989-08-19,Pan-European Picnic,"Hundreds of East Germans cross into Austria as Hungary temporarily opens border, breaching Iron Curtain.",Geopolitics,Hungary,https://en.wikipedia.org/wiki/Pan-European_Picnic,"Hungary;IronCurtain;Europe",
EVT-1988-CANADA-ELECTION,1988-11-21,Canadian Federal Election,"Progressive Conservatives led by Brian Mulroney are re-elected, cementing mandate for Canada–U.S. free trade.",Economy/Finance,Canada,https://en.wikipedia.org/wiki/1988_Canadian_federal_election,"Canada;Election;Trade",
EVT-1989-CANADA-US-FTA,1989-01-01,Canada–U.S. Free Trade Agreement,"The Canada–U.S. Free Trade Agreement comes into effect.",Economy/Finance,North America,https://en.wikipedia.org/wiki/Canada–United_States_Free_Trade_Agreement,"Trade;NAFTA;Economy",
EVT-1989-DOW-JAN-DROP,1989-01-04,Dow Jones Drops 90 Points,"Dow Jones Industrial Average falls ~90 points on first trading day of the year.",Economy/Finance,United States,https://en.wikipedia.org/wiki/Dow_Jones_Industrial_Average,"Stocks;US;Finance",
EVT-1989-SL-CRISIS,1989-01-30,Savings and Loan Crisis Peaks,"Savings and Loan crisis escalates in the U.S., with dozens of bank failures.",Economy/Finance,United States,https://en.wikipedia.org/wiki/Savings_and_loan_crisis,"Finance;Banking;Crisis",
EVT-1989-MILKEN,1989-03-29,Michael Milken Indicted,"Michael Milken indicted on 98 counts of racketeering and fraud in insider trading scandal.",Economy/Finance,United States,https://en.wikipedia.org/wiki/Michael_Milken,"Finance;Fraud;Markets",
EVT-1989-ARGENTINA-INFLATION,1989-05-01,Argentina Hyperinflation Crisis,"Argentina’s monthly inflation exceeds 100%, deepening economic crisis.",Economy/Finance,Argentina,https://en.wikipedia.org/wiki/Economic_history_of_Argentina#1983–1989:_Raúl_Alfonsín,"Argentina;Inflation;Economy",
EVT-1989-DELORS,1989-07-01,Delors Report Adopted,"European Community adopts the Delors Report, blueprint for monetary union and euro.",Economy/Finance,Europe,https://en.wikipedia.org/wiki/Delors_Report,"Europe;EU;Economy",
EVT-1989-MCDONALDS-MOSCOW,1989-07-31,First McDonald's Opens in Moscow,"First McDonald's restaurant opens in Moscow, symbolizing cultural and economic change.",Economy/Finance,Soviet Union,https://en.wikipedia.org/wiki/McDonald%27s#History,"USSR;Economy;Culture",
EVT-1988-ARMENIAN-QUAKE-ENV,1988-12-07,Armenian Earthquake Humanitarian Crisis,"1988 Armenian earthquake devastates Armenia, creating major humanitarian needs.",Environment,USSR,https://en.wikipedia.org/wiki/1988_Armenian_earthquake,"Earthquake;USSR;Disaster",
EVT-1989-EXXON-VALDEZ,1989-03-24,Exxon Valdez Oil Spill,"The Exxon Valdez oil tanker spills 11 million gallons of crude oil in Prince William Sound, Alaska.",Environment,United States,https://en.wikipedia.org/wiki/Exxon_Valdez_oil_spill,"OilSpill;Alaska;Environment",
EVT-1989-GPAIDS,1989-05-05,WHO Global Programme on AIDS,"WHO launches the Global Programme on AIDS, coordinating international response to the epidemic.",Public Health,Global,https://en.wikipedia.org/wiki/Global_Programme_on_AIDS,"WHO;AIDS;Health",
EVT-1989-BASEL,1989-06-08,Basel Convention Adopted,"The Basel Convention on hazardous waste movement and disposal is adopted by the UN.",Environment,Global,https://en.wikipedia.org/wiki/Basel_Convention,"UN;Waste;Environment",
EVT-1989-MONTREAL-PROTOCOL,1989-07-01,Montreal Protocol Enters into Force,"Montreal Protocol on ozone-depleting substances enters into force as a binding international treaty.",Environment,Global,https://en.wikipedia.org/wiki/Montreal_Protocol,"Ozone;UN;Environment",
EVT-1989-03-03-SN-CJ,1989-03-03,Saturn–Neptune Conjunction (Exact Pass 1),"Saturn conjunct Neptune at 11° Capricorn (Wave 10 anchor).",Culture/Society,Global,https://en.wikipedia.org/wiki/Saturn%E2%80%93Neptune#Conjunctions_and_oppositions,"Astrology;Saturn-Neptune;Conjunction;Wave10","Anchor aspect event",
EVT-1989-06-24-SN-CJ,1989-06-24,Saturn–Neptune Conjunction (Exact Pass 2),"Second exact pass of Saturn conjunct Neptune at 11° Capricorn (retrograde loop).",Culture/Society,Global,https://en.wikipedia.org/wiki/Saturn%E2%80%93Neptune#Conjunctions_and_oppositions,"Astrology;Saturn-Neptune;Conjunction;Wave10","Anchor aspect event"
